Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
97,Rodney Stuckey,10.6,2014-15,28,IND,71,36,0,26.4,4.7,10.6,3.9,8.6,0.8,2,2.5,3,0.5,3,3.5,3.1,0.8,0.1,1.7,1.8,12.6,0.44,0.452,0.39,0.819,0.528,0.477,G
98,Gerald Henderson,10.6,2014-15,27,CHO,80,72,0,28.9,4.6,10.6,4.1,8.9,0.6,1.7,2.3,2.7,0.5,3,3.4,2.6,0.6,0.3,1.4,1.7,12.1,0.437,0.457,0.331,0.848,0.514,0.463,G
99,Nikola Pekovi?,10.6,2014-15,29,MIN,31,29,0,26.3,4.5,10.6,4.5,10.6,0,0,3.5,4.2,2.9,4.7,7.5,0.9,0.6,0.4,1.4,1.9,12.5,0.424,0.424,,0.837,0.502,0.424,C
100,Jabari Parker,10.5,2014-15,19,MIL,25,25,0,29.5,5.2,10.5,5,9.9,0.2,0.6,1.8,2.6,2,3.5,5.5,1.7,1.2,0.2,1.9,1.7,12.3,0.49,0.506,0.25,0.697,0.527,0.498,F
101,Gerald Green,10.5,2014-15,29,PHO,74,4,0,19.5,4.4,10.5,2.5,5.3,1.9,5.2,1.3,1.6,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2,11.9,0.416,0.478,0.354,0.825,0.532,0.504,G-F
102,Carlos Boozer,10.5,2014-15,33,LAL,71,26,0,23.8,5.2,10.5,5.2,10.5,0,0,1.3,2.1,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8,0.499,0.499,,0.627,0.517,0.499,F-C
103,Shabazz Muhammad,10.4,2014-15,22,MIN,38,13,0,22.8,5.1,10.4,4.6,9.1,0.5,1.3,2.7,3.8,1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5,0.489,0.503,0.392,0.717,0.556,0.514,F-G
104,David West,10.4,2014-15,34,IND,66,66,0,28.7,4.9,10.4,4.8,10.1,0.1,0.3,1.8,2.4,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7,0.471,0.479,0.2,0.739,0.508,0.474,F-C
105,Dwight Howard,10.3,2014-15,29,HOU,41,41,0,29.8,6.1,10.3,6.1,10.3,0,0,3.5,6.6,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8,0.593,0.594,0.5,0.528,0.596,0.595,C
106,Tim Hardaway Jr.,10.2,2014-15,22,NYK,70,30,0,24,4,10.2,2.3,5.2,1.7,5.1,1.8,2.2,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5,0.389,0.435,0.342,0.801,0.512,0.474,G
107,Jarrett Jack,10.2,2014-15,31,BRK,80,27,0,28,4.5,10.2,4,8.4,0.5,1.8,2.5,2.8,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12,0.439,0.477,0.267,0.881,0.522,0.463,G
108,Ben McLemore,10.1,2014-15,21,SAC,82,82,0,32.6,4.4,10.1,2.7,5.4,1.7,4.8,1.6,2,0.4,2.6,2.9,1.7,0.9,0.2,1.7,2.7,12.1,0.437,0.507,0.358,0.813,0.552,0.521,G
109,Jordan Clarkson,10.1,2014-15,22,LAL,59,38,0,25,4.5,10.1,3.9,8.1,0.6,2.1,2.2,2.7,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9,0.448,0.482,0.314,0.829,0.528,0.48,G
110,Corey Brewer,10.1,2014-15,28,"HOU,MIN",80,17,0,26.1,4.3,10.1,3.5,7.1,0.8,2.9,2.1,2.8,1,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5,0.426,0.491,0.268,0.743,0.507,0.465,F-G
111,Aaron Brooks,10,2014-15,30,CHI,82,21,0,23,4.2,10,2.7,6.1,1.5,3.8,1.8,2.1,0.4,1.6,2,3.2,0.7,0.2,1.9,2.3,11.6,0.421,0.442,0.387,0.833,0.534,0.495,G
112,Ricky Rubio,10,2014-15,24,MIN,22,22,0,31.5,3.5,10,3,7.6,0.6,2.3,2.6,3.2,0.9,4.8,5.7,8.8,1.7,0,2.9,2.7,10.3,0.356,0.387,0.255,0.803,0.452,0.386,G
113,Evan Fournier,9.9,2014-15,22,ORL,58,32,0,28.6,4.4,9.9,2.9,6,1.5,3.9,1.8,2.5,0.5,2.2,2.6,2.1,0.7,0,1.4,2,12,0.44,0.48,0.378,0.728,0.546,0.514,G-F
114,O.J. Mayo,9.9,2014-15,27,MIL,71,15,0,23.9,4.2,9.9,2.8,6,1.4,3.9,1.6,2,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4,0.422,0.465,0.357,0.827,0.529,0.493,G
115,Donatas Motiej?nas,9.9,2014-15,24,HOU,71,62,0,28.7,5,9.9,4.3,8,0.7,1.9,1.4,2.3,1.9,4,5.9,1.8,0.8,0.5,1.7,2.9,12,0.504,0.536,0.368,0.602,0.553,0.539,F-C
116,Kenneth Faried,9.8,2014-15,25,DEN,75,71,0,27.8,5,9.8,5,9.7,0,0.1,2.7,3.8,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6,0.507,0.511,0.125,0.691,0.548,0.507,F-C
117,Draymond Green,9.7,2014-15,24,GSW,79,79,0,31.5,4.3,9.7,2.9,5.5,1.4,4.2,1.7,2.5,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,0.443,0.523,0.337,0.66,0.54,0.516,F
118,Giannis Antetokounmpo,9.6,2014-15,20,MIL,81,71,0,31.4,4.7,9.6,4.6,9.1,0.1,0.5,3.2,4.3,1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7,0.491,0.511,0.159,0.741,0.552,0.496,F-G
119,Danilo Gallinari,9.6,2014-15,26,DEN,59,27,0,24.2,3.9,9.6,2.1,4.5,1.8,5.1,2.9,3.2,0.5,3.2,3.7,1.4,0.8,0.3,1,1.6,12.4,0.401,0.453,0.355,0.895,0.563,0.496,F
120,Ersan ?lyasova,9.6,2014-15,27,MIL,58,36,0,22.7,4.5,9.6,3.3,6.3,1.3,3.3,1.2,1.8,1.4,3.4,4.8,1,0.6,0.3,0.8,2.6,11.5,0.472,0.515,0.389,0.645,0.554,0.539,F
121,Patrick Beverley,9.5,2014-15,26,HOU,56,55,0,30.8,3.6,9.5,1.6,3.7,2.1,5.8,0.8,1.1,1.2,3,4.2,3.4,1.1,0.4,1.5,3.3,10.1,0.383,0.426,0.356,0.75,0.509,0.492,G
122,Luc Mbah a Moute,9.5,2014-15,28,PHI,67,61,0,28.6,3.7,9.5,2.8,6.5,0.9,3,1.4,2.4,1.2,3.7,4.9,1.6,1.2,0.3,1.5,1.6,9.9,0.395,0.435,0.307,0.589,0.466,0.443,F
123,Wayne Ellington,9.5,2014-15,27,LAL,65,36,0,25.8,3.9,9.5,2.5,5.8,1.4,3.7,0.8,1,0.5,2.8,3.2,1.6,0.5,0,0.8,1.2,10,0.412,0.439,0.37,0.813,0.504,0.485,G
124,Rajon Rondo,9.5,2014-15,28,"BOS,DAL",68,68,0,29.7,4,9.5,3.6,8.2,0.4,1.3,0.5,1.1,1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.3,8.9,0.426,0.444,0.314,0.397,0.448,0.447,G
125,Marcin Gortat,9.5,2014-15,30,WAS,82,82,0,29.9,5.4,9.5,5.4,9.4,0,0,1.5,2.1,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2,0.566,0.569,0,0.703,0.587,0.566,C-F
126,Marcus Morris,9.4,2014-15,25,PHO,81,35,0,25.2,4.1,9.4,2.7,5.6,1.4,3.9,0.9,1.4,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4,0.434,0.487,0.358,0.628,0.52,0.507,F
127,Jason Richardson,9.4,2014-15,34,PHI,19,15,0,21.9,3.3,9.4,1.6,4.3,1.6,5.1,0.9,1.2,0.7,2.8,3.5,2,0.7,0.2,0.8,1.5,9.1,0.348,0.378,0.323,0.773,0.458,0.435,G
128,Roy Hibbert,9.3,2014-15,28,IND,76,76,0,25.3,4.2,9.3,4.2,9.3,0,0,2.2,2.7,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6,0.446,0.448,0,0.824,0.501,0.446,C
129,DeMarre Carroll,9.3,2014-15,28,ATL,70,69,0,31.3,4.5,9.3,2.8,5,1.7,4.3,1.8,2.6,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,0.487,0.567,0.395,0.702,0.603,0.579,F
130,Gary Neal,9.3,2014-15,30,"CHO,MIN",54,1,0,22.1,3.5,9.3,2.6,6.3,0.9,3,2.2,2.5,0.3,2.1,2.4,1.9,0.4,0,1.2,1.6,10.1,0.374,0.407,0.305,0.867,0.483,0.423,G
131,Terrence Ross,9.2,2014-15,23,TOR,82,61,0,25.5,3.8,9.2,2,4.4,1.8,4.8,0.5,0.7,0.4,2.4,2.8,1,0.6,0.3,0.8,1.7,9.8,0.41,0.452,0.372,0.786,0.519,0.507,F-G
132,Danny Green,9.1,2014-15,27,SAS,81,80,0,28.5,4,9.1,1.6,3.5,2.4,5.6,1.4,1.6,0.7,3.6,4.2,2,1.2,1.1,1.1,2,11.7,0.436,0.466,0.418,0.874,0.596,0.566,G-F
133,Evan Turner,9.1,2014-15,26,BOS,82,57,0,27.6,3.9,9.1,3.5,7.6,0.4,1.5,1.3,1.7,0.5,4.6,5.1,5.5,1,0.2,2.4,2.2,9.5,0.429,0.458,0.277,0.752,0.482,0.451,G
134,Wesley Johnson,9.1,2014-15,27,LAL,76,59,0,29.5,3.8,9.1,2.6,5.7,1.2,3.4,1.2,1.5,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9,0.414,0.451,0.351,0.804,0.509,0.48,F-G
135,Terrence Jones,9.1,2014-15,23,HOU,33,24,0,26.9,4.8,9.1,4.4,7.9,0.4,1.1,1.7,2.8,2.4,4.3,6.7,1.1,0.5,1.8,1.1,2.4,11.7,0.528,0.553,0.351,0.606,0.567,0.55,F
136,Lance Stephenson,9,2014-15,24,CHO,61,25,0,25.8,3.4,9,3.1,7.3,0.3,1.7,1.1,1.8,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2,0.376,0.425,0.171,0.627,0.419,0.393,G-F
137,Paul Pierce,9,2014-15,37,WAS,73,73,0,26.2,4,9,2.4,4.8,1.6,4.2,2.2,2.9,0.6,3.4,4,2,0.6,0.3,1.3,2.2,11.9,0.447,0.496,0.389,0.781,0.58,0.537,F-G
138,Nenê,9,2014-15,32,WAS,67,58,0,25.3,4.6,9,4.6,8.9,0,0.1,1.8,3,1.3,3.9,5.1,1.8,1,0.3,1.9,2.7,11,0.511,0.513,0.2,0.604,0.534,0.512,F-C
139,Jabari Brown,8.9,2014-15,22,LAL,19,5,0,29.9,3.7,8.9,2.5,5.7,1.2,3.3,3.4,4.5,0.2,1.7,1.9,2.1,0.6,0.1,1.7,1.7,11.9,0.412,0.435,0.371,0.753,0.547,0.479,G
140,Jodie Meeks,8.9,2014-15,27,DET,60,0,0,24.4,3.7,8.9,2.5,5.4,1.2,3.5,2.4,2.7,0.2,1.5,1.7,1.3,1,0.1,1,1.3,11.1,0.416,0.46,0.349,0.906,0.548,0.485,G
141,Greivis Vásquez,8.8,2014-15,28,TOR,82,29,0,24.3,3.6,8.8,2,4.6,1.6,4.3,0.6,0.8,0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5,0.408,0.436,0.379,0.758,0.514,0.5,G
142,Jeremy Lin,8.8,2014-15,26,LAL,74,30,0,25.8,3.7,8.8,2.9,6.5,0.9,2.4,2.9,3.6,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2,0.424,0.444,0.369,0.795,0.539,0.473,G
143,Michael Beasley,8.8,2014-15,26,MIA,24,1,0,21,3.8,8.8,3.5,7.4,0.3,1.4,0.8,1.1,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8,0.434,0.472,0.235,0.769,0.474,0.453,F
144,Zach LaVine,8.8,2014-15,19,MIN,77,40,0,24.7,3.7,8.8,3,6.6,0.7,2.2,1.9,2.3,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1,0.422,0.449,0.341,0.842,0.515,0.465,G-F
145,Michael Kidd-Gilchrist,8.8,2014-15,21,CHO,55,52,0,28.9,4.1,8.8,4.1,8.8,0,0,2.7,3.9,2,5.6,7.6,1.4,0.5,0.7,1.1,2.1,10.9,0.465,0.465,,0.701,0.519,0.465,F
146,Nerlens Noel,8.7,2014-15,20,PHI,75,71,0,30.8,4,8.7,4,8.7,0,0,1.9,3.1,2.5,5.7,8.1,1.7,1.8,1.9,1.9,2.8,9.9,0.462,0.462,,0.609,0.493,0.462,C-F
147,Dennis Schröder,8.6,2014-15,21,ATL,77,10,0,19.7,3.7,8.6,3,6.7,0.7,1.9,1.9,2.3,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10,0.427,0.449,0.351,0.827,0.516,0.466,G
148,Elfrid Payton,8.6,2014-15,20,ORL,82,63,0,30.4,3.7,8.6,3.5,8.1,0.1,0.5,1.4,2.6,1.3,3,4.3,6.5,1.7,0.2,2.5,2.4,8.9,0.425,0.435,0.262,0.551,0.456,0.433,G
149,Marreese Speights,8.5,2014-15,27,GSW,76,9,0,15.9,4.2,8.5,4.1,8.3,0.1,0.2,2,2.3,1.4,2.8,4.3,0.9,0.3,0.4,1.1,2.5,10.4,0.492,0.498,0.278,0.843,0.546,0.496,C-F
150,Nicolas Batum,8.5,2014-15,26,POR,71,71,0,33.5,3.4,8.5,2,4.1,1.4,4.4,1.2,1.4,0.9,5,5.9,4.8,1.1,0.6,1.9,1.5,9.4,0.4,0.481,0.324,0.857,0.516,0.483,F-G
151,José Calderón,8.4,2014-15,33,NYK,42,42,0,30.2,3.5,8.4,2.1,5,1.4,3.4,0.7,0.8,0.5,2.5,3,4.7,0.7,0,1.8,1.8,9.1,0.415,0.415,0.415,0.906,0.519,0.499,G
152,Manu Ginóbili,8.4,2014-15,37,SAS,70,0,0,22.7,3.6,8.4,2.3,4.7,1.3,3.7,2.1,2.9,0.4,2.6,3,4.2,1,0.3,2.2,2,10.5,0.426,0.489,0.345,0.721,0.544,0.502,G
153,Courtney Lee,8.4,2014-15,29,MEM,77,74,0,30.6,3.7,8.4,2.6,5.4,1.2,2.9,1.4,1.7,0.3,2,2.3,2,1,0.2,1,1.7,10.1,0.448,0.473,0.402,0.86,0.555,0.518,G
154,Brandon Bass,8.3,2014-15,29,BOS,82,43,0,23.5,4.2,8.3,4.1,7.9,0.1,0.4,2.1,2.6,1.7,3.2,4.9,1.3,0.5,0.4,1,1.7,10.6,0.504,0.515,0.281,0.79,0.557,0.51,F
155,Anthony Morrow,8.3,2014-15,29,OKC,74,0,0,24.4,3.9,8.3,1.9,3.9,1.9,4.4,1.1,1.2,0.5,2.1,2.6,0.8,0.7,0.1,0.5,1.8,10.7,0.463,0.497,0.434,0.888,0.604,0.578,G
156,Amar'e Stoudemire,8.3,2014-15,32,"DAL,NYK",59,15,0,21.1,4.6,8.3,4.6,8.2,0,0.1,2.3,3.2,1.9,3.7,5.6,0.8,0.5,0.6,1.3,2.7,11.5,0.557,0.562,0,0.72,0.595,0.557,F-C
157,Mario Chalmers,8.3,2014-15,28,MIA,80,37,0,29.6,3.3,8.3,2.4,5.2,0.9,3.1,2.6,3.3,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2,0.403,0.467,0.294,0.774,0.521,0.458,G
158,Kelly Olynyk,8.3,2014-15,23,BOS,64,13,0,22.2,3.9,8.3,3,5.5,1,2.7,1.5,2.1,1.4,3.3,4.7,1.7,1,0.6,1.5,3.3,10.3,0.475,0.538,0.349,0.684,0.558,0.533,C-F
159,Matt Barnes,8.2,2014-15,34,LAC,76,74,0,29.9,3.6,8.2,1.9,3.3,1.8,4.9,1,1.3,0.7,3.3,4,1.5,0.9,0.7,1.1,3.2,10.1,0.444,0.569,0.362,0.779,0.574,0.553,F
160,Paul George,8.2,2014-15,24,IND,6,0,0,15.2,3,8.2,1.5,4.5,1.5,3.7,1.3,1.8,0.7,3,3.7,1,0.8,0.2,2,1.8,8.8,0.367,0.333,0.409,0.727,0.492,0.459,F-G
161,Taj Gibson,8.2,2014-15,29,CHI,62,17,0,27.3,4.1,8.2,4.1,8.2,0,0,2.1,3,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3,0.502,0.502,,0.717,0.545,0.502,F-C
162,Jonas Valan?i?nas,8.2,2014-15,22,TOR,80,80,0,26.2,4.7,8.2,4.7,8.1,0,0,2.7,3.5,2.7,6,8.7,0.5,0.4,1.2,1.4,2.8,12,0.572,0.573,0,0.786,0.623,0.572,C
163,Hassan Whiteside,8.1,2014-15,25,MIA,48,32,0,23.8,5.1,8.1,5.1,8.1,0,0,1.6,3.3,3,7,10,0.1,0.6,2.6,1.2,2.7,11.8,0.628,0.628,,0.5,0.619,0.628,C
164,Isaiah Canaan,8,2014-15,23,"HOU,PHI",47,21,0,20,3.1,8,1.2,2.8,1.9,5.2,1,1.3,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2,0.386,0.417,0.37,0.817,0.534,0.507,G
165,Randy Foye,8,2014-15,31,DEN,50,21,0,21.7,3,8,1.1,2.8,1.9,5.3,0.9,1.1,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7,0.368,0.388,0.357,0.818,0.51,0.485,G
166,Harrison Barnes,8,2014-15,22,GSW,82,82,0,28.3,3.9,8,2.8,5.4,1.1,2.6,1.3,1.8,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1,0.482,0.519,0.405,0.72,0.573,0.548,F
167,Kyle Korver,8,2014-15,33,ATL,75,75,1,32.2,3.9,8,0.9,2,2.9,6,1.4,1.6,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,0.487,0.47,0.492,0.898,0.699,0.671,G-F
168,Jameer Nelson,8,2014-15,32,"BOS,DAL,DEN",63,29,0,22.3,3.3,8,1.8,3.9,1.4,4.1,0.4,0.6,0.5,1.8,2.3,4,0.7,0.1,1.7,2.2,8.3,0.407,0.472,0.345,0.667,0.503,0.495,G
169,Alexey Shved,8,2014-15,26,"HOU,NYK,PHI",42,9,0,18.3,3.2,8,2,4.7,1.1,3.3,2.9,3.6,0.5,1.8,2.4,2.5,0.7,0.1,1.1,1.1,10.3,0.397,0.439,0.338,0.807,0.541,0.467,G
170,Mirza Teletovi?,8,2014-15,29,BRK,40,4,0,22.3,3.1,8,1.5,3.2,1.6,4.8,0.8,1.2,0.7,4.2,4.9,1.2,0.4,0.4,1.3,1.9,8.5,0.382,0.476,0.321,0.717,0.5,0.48,F
171,Luis Scola,7.9,2014-15,34,IND,81,16,0,20.5,3.7,7.9,3.6,7.7,0.1,0.2,2,2.8,1.7,4.8,6.5,1.3,0.6,0.2,1.2,2.4,9.4,0.467,0.474,0.25,0.699,0.515,0.471,F
172,D.J. Augustin,7.9,2014-15,27,"DET,OKC",82,14,0,24,3.1,7.9,2.1,4.9,1,3,2.2,2.5,0.2,1.7,2,4.3,0.6,0,1.8,1.1,9.5,0.399,0.436,0.337,0.868,0.527,0.463,G
173,Sebastian Telfair,7.8,2014-15,29,OKC,16,1,0,20.4,2.9,7.8,1.8,4.1,1.1,3.8,1.5,2.1,0.1,1.8,1.9,2.8,0.6,0,1.1,1.8,8.4,0.368,0.431,0.3,0.706,0.479,0.44,G
174,Boris Diaw,7.8,2014-15,32,SAS,81,15,0,24.5,3.6,7.8,2.9,5.7,0.7,2.1,0.9,1.1,1,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7,0.46,0.512,0.32,0.774,0.526,0.503,F-C
175,Solomon Hill,7.7,2014-15,23,IND,82,78,0,29,3.1,7.7,2.2,5.2,0.8,2.5,1.9,2.4,0.9,3,3.8,2.2,0.8,0.2,1.4,2.2,8.9,0.396,0.43,0.327,0.824,0.507,0.45,F
176,Anderson Varejão,7.7,2014-15,32,CLE,26,26,0,24.5,4.3,7.7,4.3,7.6,0,0.1,1.3,1.7,2.2,4.3,6.5,1.3,0.7,0.6,1.3,2.2,9.8,0.555,0.561,0,0.733,0.58,0.555,F-C
177,Hollis Thompson,7.6,2014-15,23,PHI,71,23,0,25,3.2,7.6,1.5,3.6,1.6,4,0.9,1.3,0.7,2,2.8,1.2,0.8,0.4,0.9,2,8.8,0.413,0.426,0.401,0.708,0.538,0.518,G-F
178,P.J. Tucker,7.6,2014-15,29,PHO,78,63,0,30.6,3.3,7.6,2.2,4.4,1.1,3.2,1.3,1.8,1.5,5,6.4,1.6,1.4,0.3,1.2,2.3,9.1,0.438,0.506,0.345,0.727,0.541,0.511,F
179,Mike Dunleavy,7.6,2014-15,34,CHI,63,63,0,29.2,3.3,7.6,1.6,3.5,1.7,4.2,1.1,1.4,0.4,3.5,3.9,1.8,0.6,0.3,1,2,9.4,0.435,0.468,0.407,0.805,0.573,0.546,F-G
180,Nikola Miroti?,7.6,2014-15,23,CHI,82,3,0,20.2,3.1,7.6,1.9,3.8,1.2,3.8,2.8,3.5,0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,10.2,0.405,0.495,0.316,0.803,0.556,0.485,F
181,Iman Shumpert,7.6,2014-15,24,"CLE,NYK",62,25,0,24.9,3.1,7.6,2,4.4,1.1,3.2,0.7,1,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8,0.41,0.458,0.342,0.672,0.497,0.481,G
182,Marco Belinelli,7.6,2014-15,28,SAS,62,9,0,22.4,3.2,7.6,1.8,3.9,1.4,3.7,1.4,1.6,0.4,2.1,2.5,1.5,0.5,0,1,1.4,9.2,0.423,0.471,0.374,0.848,0.553,0.515,G-F
183,Tyler Zeller,7.5,2014-15,25,BOS,82,59,0,21.1,4.1,7.5,4.1,7.5,0,0,1.9,2.3,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,10.2,0.549,0.549,,0.823,0.594,0.549,F-C
184,Rodney Hood,7.5,2014-15,22,UTA,50,21,0,21.3,3.1,7.5,1.9,4.1,1.2,3.4,1.2,1.6,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7,0.414,0.456,0.365,0.763,0.529,0.497,G-F
185,Norris Cole,7.4,2014-15,26,"MIA,NOP",75,25,0,24.4,3.1,7.4,2.3,5.1,0.7,2.3,0.8,1.1,0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6,0.412,0.458,0.313,0.716,0.483,0.461,G
186,Chris Kaman,7.4,2014-15,32,POR,74,13,0,18.9,3.8,7.4,3.8,7.4,0,0,1,1.4,2,4.5,6.5,0.9,0.2,0.7,1.5,1.9,8.6,0.515,0.515,,0.706,0.537,0.515,C
187,Robin Lopez,7.4,2014-15,26,POR,59,59,0,27.8,4,7.4,4,7.4,0,0,1.7,2.2,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,0.535,0.537,0,0.772,0.574,0.535,C
188,Bojan Bogdanovi?,7.4,2014-15,25,BRK,78,28,0,23.8,3.3,7.4,2.2,4.1,1.2,3.3,1.1,1.4,0.6,2.1,2.7,0.9,0.4,0.1,1,1.3,9,0.453,0.531,0.355,0.821,0.562,0.532,G-F
189,C.J. Watson,7.3,2014-15,30,IND,57,21,0,24.9,3.2,7.3,1.9,4.2,1.2,3.1,2.4,2.9,0.3,2.5,2.9,3.6,1,0.2,1.8,1.9,10,0.434,0.459,0.4,0.826,0.581,0.518,G
190,Zaza Pachulia,7.2,2014-15,30,MIL,73,45,0,23.7,3.3,7.2,3.3,7.2,0,0,1.7,2.2,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3,0.454,0.456,0,0.788,0.506,0.454,C
191,Tony Allen,7.2,2014-15,33,MEM,63,41,0,26.2,3.6,7.2,3.4,6.8,0.2,0.5,1.3,2,1.6,2.8,4.4,1.4,2,0.5,1.4,2.6,8.6,0.495,0.505,0.345,0.627,0.528,0.505,G-F
192,Jason Smith,7.2,2014-15,28,NYK,82,31,0,21.8,3.1,7.2,3,6.7,0.2,0.5,1.5,1.9,1.2,2.8,4,1.7,0.4,0.5,1.3,2.5,8,0.434,0.44,0.357,0.83,0.497,0.447,F-C
193,Marcus Thornton,7.2,2014-15,27,"BOS,PHO",48,0,0,15,2.9,7.2,1.8,4.2,1.1,3,1,1.2,0.5,1.3,1.8,0.8,0.6,0.1,0.6,0.8,7.9,0.406,0.426,0.378,0.821,0.514,0.484,G
194,Lance Thomas,7.1,2014-15,26,"NYK,OKC",62,37,0,24,2.9,7.1,2.8,6.8,0.1,0.4,1.2,1.6,1,2.1,3.1,1.1,0.6,0.1,1.2,1.6,7.1,0.412,0.417,0.318,0.727,0.456,0.42,F
195,Marcus Smart,7.1,2014-15,20,BOS,67,38,0,27,2.6,7.1,1.3,3.1,1.4,4.1,1.2,1.9,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,7.8,0.367,0.41,0.335,0.646,0.491,0.462,G
