Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
196,Gorgui Dieng,7,2014-15,25,MIN,73,49,0,30,3.5,7,3.5,6.9,0,0.1,2.6,3.3,3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7,0.506,0.51,0.167,0.783,0.573,0.507,C
197,K.J. McDaniels,7,2014-15,21,"HOU,PHI",62,15,0,21.8,2.8,7,2.1,4.6,0.7,2.4,1.6,2.1,1,2.2,3.2,1.2,0.7,1.1,1.7,2,7.9,0.396,0.454,0.287,0.752,0.494,0.446,G-F
198,Henry Walker,7,2014-15,27,MIA,24,13,0,26.2,2.4,7,0.5,1.5,1.9,5.5,0.6,0.8,0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3,0.345,0.361,0.341,0.778,0.497,0.479,F
199,Timofey Mozgov,7,2014-15,28,"CLE,DEN",81,80,0,25.2,3.9,7,3.9,6.9,0,0.1,1.9,2.7,2.5,4.8,7.3,0.7,0.4,1.2,1.4,2.8,9.7,0.555,0.557,0.333,0.718,0.594,0.557,C
200,Kris Humphries,7,2014-15,29,WAS,64,17,0,21,3.3,7,3.3,6.9,0,0.1,1.4,1.8,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2,8,0.473,0.481,0,0.744,0.512,0.473,F-C
201,J.J. Barea,7,2014-15,30,DAL,77,10,0,17.7,2.9,7,2.2,4.8,0.7,2.2,1,1.2,0.3,1.4,1.7,3.4,0.4,0,0.9,1.4,7.5,0.42,0.463,0.323,0.809,0.502,0.47,G
202,Tayshaun Prince,6.9,2014-15,34,"BOS,DET,MEM",58,16,0,24.1,3.1,6.9,2.5,5.8,0.5,1.2,0.8,1.1,0.9,2.7,3.6,1.6,0.5,0.3,0.6,0.9,7.5,0.44,0.436,0.463,0.754,0.504,0.479,F
203,Amir Johnson,6.9,2014-15,27,TOR,75,72,0,26.4,4,6.9,3.7,6.3,0.3,0.6,1.1,1.7,2.1,4,6.1,1.6,0.6,0.8,1.5,3,9.3,0.574,0.59,0.413,0.612,0.603,0.592,F-C
204,Ray McCallum,6.9,2014-15,23,SAC,68,30,0,21.1,3,6.9,2.5,5.3,0.5,1.6,0.8,1.2,0.8,1.9,2.6,2.8,0.7,0.2,1.3,1.4,7.4,0.438,0.479,0.306,0.679,0.496,0.474,G
205,Devin Harris,6.9,2014-15,31,DAL,76,3,0,22.2,2.9,6.9,1.6,3.4,1.3,3.5,1.7,2.1,0.2,1.6,1.8,3.1,1,0.2,1.1,1.9,8.8,0.418,0.481,0.357,0.815,0.559,0.509,G
206,Rasual Butler,6.9,2014-15,35,WAS,75,1,0,20.1,2.9,6.9,1.7,3.8,1.2,3.1,0.7,0.9,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7,0.422,0.45,0.387,0.791,0.531,0.51,F-G
207,Henry Sims,6.9,2014-15,24,PHI,73,32,0,19.2,3.3,6.9,3.2,6.6,0.1,0.3,1.5,1.9,1.7,3.3,4.9,1.1,0.5,0.4,1.4,1.8,8,0.474,0.488,0.182,0.774,0.521,0.478,C
208,Adreian Payne,6.9,2014-15,23,"ATL,MIN",32,22,0,23.1,2.8,6.9,2.8,6.6,0,0.3,0.9,1.4,1.5,3.6,5.1,0.9,0.6,0.3,1.4,2.8,6.7,0.414,0.427,0.111,0.652,0.443,0.416,F-C
209,Jerryd Bayless,6.7,2014-15,26,MIL,77,4,0,22.3,2.9,6.7,2.4,5.1,0.5,1.6,1.6,1.8,0.3,2.5,2.7,3,0.8,0.2,1.7,2.1,7.8,0.426,0.462,0.308,0.883,0.519,0.462,G
210,Donald Sloan,6.7,2014-15,27,IND,53,21,0,20.9,2.7,6.7,2,4.2,0.8,2.5,1.1,1.5,0.2,2.5,2.7,3.6,0.4,0,1.2,0.9,7.4,0.408,0.464,0.313,0.779,0.503,0.466,G
211,Ish Smith,6.7,2014-15,26,"OKC,PHI",55,14,0,15.1,2.6,6.7,2.3,5.6,0.3,1.1,0.6,1,0.3,1.5,1.8,3.3,0.7,0.1,1.4,0.9,6.1,0.39,0.407,0.3,0.596,0.431,0.414,G
212,Dwight Buycks,6.7,2014-15,25,LAL,6,0,0,20.5,3,6.7,1.8,4.8,1.2,1.8,1.5,1.7,0.3,1.7,2,2.3,0.5,0,2,0.5,8.7,0.45,0.379,0.636,0.9,0.586,0.538,G
213,Mike Scott,6.7,2014-15,26,ATL,68,0,0,16.5,3,6.7,2,3.8,1,2.8,0.9,1.1,0.7,2.3,2.9,1.1,0.4,0,0.6,1.2,7.8,0.444,0.517,0.344,0.792,0.543,0.517,F
214,Jae Crowder,6.6,2014-15,24,"BOS,DAL",82,17,0,20.1,2.8,6.6,2,4.1,0.7,2.5,1.3,1.7,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7,0.42,0.499,0.293,0.773,0.517,0.476,F
215,Darrell Arthur,6.6,2014-15,26,DEN,58,4,0,17,2.7,6.6,2.2,4.7,0.4,1.9,0.8,1,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6,0.404,0.471,0.236,0.78,0.466,0.438,F
216,Patrick Patterson,6.6,2014-15,25,TOR,81,4,0,26.6,3,6.6,1.7,3.1,1.3,3.5,0.8,1,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8,0.449,0.536,0.371,0.788,0.568,0.547,F
217,Patty Mills,6.6,2014-15,26,SAS,51,0,0,15.7,2.5,6.6,1.3,3,1.2,3.6,0.6,0.8,0.4,1.1,1.5,1.7,0.5,0,0.7,1.1,6.9,0.381,0.429,0.341,0.825,0.496,0.473,G
218,Derrick Williams,6.6,2014-15,23,SAC,74,6,0,19.8,2.9,6.6,2.3,4.4,0.7,2.1,1.8,2.6,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3,0.447,0.511,0.314,0.684,0.54,0.498,F
219,Austin Rivers,6.5,2014-15,22,"LAC,NOP",76,5,0,20.6,2.7,6.5,2.2,4.8,0.5,1.7,1.1,1.7,0.4,1.6,2,2,0.6,0.2,0.9,1.9,7,0.409,0.449,0.298,0.675,0.481,0.449,G
220,DeAndre Jordan,6.5,2014-15,26,LAC,82,82,0,34.4,4.6,6.5,4.6,6.5,0,0,2.3,5.7,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5,0.71,0.713,0.25,0.397,0.638,0.711,C
221,Kevin Garnett,6.5,2014-15,38,"BRK,MIN",47,47,0,20.3,3,6.5,3,6.4,0,0.1,0.8,1,1,5.6,6.6,1.6,1,0.4,1,2.3,6.9,0.467,0.475,0.143,0.8,0.496,0.469,F-C
222,Channing Frye,6.5,2014-15,31,ORL,75,51,0,24.9,2.5,6.5,0.7,1.9,1.8,4.6,0.4,0.5,0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3,0.392,0.39,0.393,0.886,0.546,0.532,C-F
223,Andre Iguodala,6.4,2014-15,31,GSW,77,0,0,26.9,3,6.4,2,3.7,1,2.8,0.9,1.5,0.6,2.8,3.3,3,1.2,0.3,1.1,1.3,7.8,0.466,0.553,0.349,0.596,0.553,0.54,F-G
224,Beno Udrih,6.4,2014-15,32,MEM,79,12,0,18.9,3.1,6.4,2.8,5.2,0.3,1.2,1.1,1.3,0.3,1.6,1.8,2.8,0.6,0.1,1.1,1.1,7.7,0.487,0.539,0.268,0.853,0.55,0.513,G
225,David Lee,6.4,2014-15,31,GSW,49,4,0,18.4,3.3,6.4,3.3,6.3,0,0,1.4,2.1,1.7,3.6,5.2,1.7,0.6,0.5,1,1.7,7.9,0.511,0.514,0,0.654,0.541,0.511,F-C
226,Omri Casspi,6.4,2014-15,26,SAC,67,19,0,21.1,3.1,6.4,2.6,5.1,0.5,1.3,2.1,2.9,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9,0.489,0.512,0.402,0.733,0.58,0.53,F
227,Joakim Noah,6.4,2014-15,29,CHI,67,67,0,30.6,2.8,6.4,2.8,6.3,0,0,1.6,2.6,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3,7.2,0.445,0.447,0,0.603,0.482,0.445,C
228,Larry Sanders,6.4,2014-15,26,MIL,27,26,0,21.7,3.2,6.4,3.2,6.4,0,0,0.9,1.8,2.5,3.7,6.1,0.9,1,1.4,1,3.9,7.3,0.5,0.5,,0.5,0.507,0.5,C-F
229,Marvin Williams,6.3,2014-15,28,CHO,78,37,0,26.1,2.7,6.3,1.5,2.9,1.2,3.4,0.8,1.1,0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,7.4,0.424,0.5,0.358,0.713,0.541,0.52,F
230,J.J. Hickson,6.3,2014-15,26,DEN,73,8,0,19.3,3,6.3,3,6.3,0,0,1.6,2.8,2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6,0.475,0.477,0,0.577,0.504,0.475,F-C
231,Brian Roberts,6.3,2014-15,29,CHO,72,10,0,18.5,2.4,6.3,1.6,3.6,0.9,2.7,0.9,1,0.2,1.3,1.5,2.3,0.5,0.1,0.8,1,6.7,0.389,0.44,0.321,0.892,0.495,0.458,G
232,Chris Copeland,6.2,2014-15,30,IND,50,12,0,16.6,2.2,6.2,1.2,2.9,1,3.3,0.7,0.9,0.5,1.8,2.2,1,0.2,0.2,1.2,1.6,6.2,0.361,0.42,0.311,0.733,0.468,0.445,F
233,Jusuf Nurki?,6.2,2014-15,20,DEN,62,27,0,17.8,2.8,6.2,2.8,6.1,0,0,1.4,2.1,2,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9,0.446,0.449,0,0.636,0.483,0.446,C
234,Vince Carter,6.2,2014-15,38,MEM,66,1,0,16.5,2,6.2,1,2.6,1,3.5,0.7,0.9,0.4,1.6,2,1.2,0.7,0.2,0.7,1.5,5.8,0.333,0.379,0.297,0.789,0.445,0.417,G-F
235,Will Barton,6.1,2014-15,24,"DEN,POR",58,0,0,16.9,2.6,6.1,2.2,4.6,0.4,1.5,1.3,1.6,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8,0.425,0.474,0.271,0.787,0.503,0.458,G
236,Nate Robinson,6.1,2014-15,30,"DEN,LAC",42,1,0,14.1,2.1,6.1,1.4,3.4,0.7,2.7,0.7,1.1,0.4,0.8,1.2,2.3,0.5,0.1,0.7,1.8,5.7,0.345,0.399,0.277,0.674,0.432,0.406,G
237,Cody Zeller,6,2014-15,22,CHO,62,45,0,24,2.8,6,2.8,6,0,0,2,2.6,1.6,4.3,5.8,1.6,0.5,0.8,1,2.5,7.6,0.461,0.46,1,0.774,0.53,0.462,C-F
238,P.J. Hairston,6,2014-15,22,CHO,45,2,0,15.3,1.9,6,0.8,2.4,1.1,3.6,0.7,0.8,0.5,1.6,2,0.5,0.5,0.3,0.5,1.4,5.6,0.323,0.358,0.301,0.861,0.446,0.414,G-F
239,Mason Plumlee,6,2014-15,24,BRK,82,45,0,21.3,3.4,6,3.4,5.9,0,0,1.9,3.9,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7,0.573,0.576,0,0.495,0.57,0.573,C-F
240,Quincy Pondexter,6,2014-15,26,"MEM,NOP",75,30,0,23.9,2.5,6,1.3,2.7,1.2,3.3,0.9,1.3,0.7,1.9,2.6,1.3,0.3,0.3,0.7,2,7.2,0.421,0.478,0.373,0.74,0.55,0.522,G-F
241,Tristan Thompson,6,2014-15,23,CLE,82,15,0,26.8,3.3,6,3.3,6,0,0,1.9,3,3.3,4.7,8,0.5,0.4,0.7,1,2.3,8.5,0.547,0.547,,0.641,0.58,0.547,F-C
242,Alan Anderson,5.9,2014-15,32,BRK,74,19,0,23.6,2.6,5.9,1.6,3.1,1,2.8,1.1,1.4,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2,7.4,0.443,0.53,0.348,0.812,0.563,0.526,G-F
243,Ryan Kelly,5.9,2014-15,23,LAL,52,34,0,23.7,2,5.9,1.1,3.4,0.9,2.6,1.5,1.8,0.3,2.6,2.8,1.8,0.6,0.5,0.7,2.3,6.4,0.337,0.337,0.336,0.832,0.473,0.409,F
244,Ed Davis,5.9,2014-15,25,LAL,79,24,0,23.3,3.6,5.9,3.6,5.9,0,0,1.2,2.4,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3,0.601,0.601,,0.487,0.594,0.601,F
245,CJ McCollum,5.9,2014-15,23,POR,62,3,0,15.7,2.6,5.9,1.7,3.6,0.9,2.2,0.8,1.2,0.2,1.2,1.5,1,0.7,0.1,0.8,1.3,6.8,0.436,0.46,0.396,0.699,0.534,0.511,G
246,Willie Green,5.9,2014-15,33,ORL,52,2,0,18.3,2.3,5.9,1.5,3.6,0.8,2.3,0.5,0.7,0.3,1.3,1.5,1.3,0.5,0.1,0.9,1.6,5.9,0.386,0.411,0.347,0.824,0.477,0.454,G
247,Jared Dudley,5.9,2014-15,29,MIL,72,22,0,23.8,2.8,5.9,1.7,3.2,1,2.7,0.7,0.9,0.6,2.4,3.1,1.8,1,0.2,0.9,1.6,7.2,0.468,0.537,0.385,0.716,0.572,0.556,F-G
248,Trevor Booker,5.9,2014-15,27,UTA,79,5,0,19.8,2.9,5.9,2.5,4.8,0.4,1.1,1.1,1.9,1.8,3.3,5,1.1,0.5,0.5,1.1,1.8,7.2,0.487,0.518,0.345,0.581,0.536,0.518,F
249,Tyson Chandler,5.9,2014-15,32,DAL,75,75,0,30.5,3.9,5.9,3.9,5.9,0,0,2.5,3.4,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,0.666,0.666,,0.72,0.697,0.666,C
250,Leandro Barbosa,5.8,2014-15,32,GSW,66,1,0,14.9,2.8,5.8,2.1,4.2,0.7,1.7,0.9,1.1,0.3,1,1.4,1.5,0.6,0.1,0.7,1.3,7.1,0.474,0.511,0.384,0.784,0.558,0.53,G
251,Tiago Splitter,5.8,2014-15,30,SAS,52,35,0,19.8,3.3,5.8,3.3,5.8,0,0,1.7,2.3,1.8,3.1,4.8,1.5,0.7,0.7,1.2,2,8.2,0.558,0.558,,0.75,0.601,0.558,F-C
252,Chase Budinger,5.8,2014-15,26,MIN,67,4,0,19.2,2.5,5.8,1.7,3.7,0.8,2.1,1,1.2,0.5,2.5,3,1,0.7,0.1,0.7,1.1,6.8,0.433,0.474,0.364,0.827,0.537,0.5,F
253,Jason Terry,5.8,2014-15,37,HOU,77,18,0,21.3,2.4,5.8,0.8,1.6,1.6,4.2,0.5,0.6,0.2,1.4,1.6,1.9,0.9,0.2,1,1.5,7,0.422,0.504,0.39,0.813,0.579,0.563,G
254,Kirk Hinrich,5.8,2014-15,34,CHI,66,22,0,24.4,2.2,5.8,1.3,3.2,0.9,2.5,0.5,0.8,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7,0.373,0.394,0.345,0.7,0.468,0.449,G
255,James Johnson,5.8,2014-15,27,TOR,70,17,0,19.6,3.4,5.8,3.2,5,0.2,0.7,1,1.5,0.9,2.8,3.7,1.4,0.8,1,1.1,2.2,7.9,0.589,0.643,0.216,0.657,0.617,0.603,F
256,Steven Adams,5.7,2014-15,21,OKC,70,67,0,25.3,3.1,5.7,3.1,5.7,0,0,1.5,2.9,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,0.544,0.547,0,0.502,0.549,0.544,C
257,Kevin Séraphin,5.7,2014-15,25,WAS,79,0,0,15.6,2.9,5.7,2.9,5.7,0,0,0.7,1,1.1,2.5,3.6,0.7,0.1,0.7,1.2,2.5,6.6,0.513,0.516,0,0.707,0.535,0.513,F
258,Spencer Hawes,5.7,2014-15,26,LAC,73,15,0,17.5,2.2,5.7,1.5,3.3,0.8,2.4,0.6,0.9,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,0.393,0.452,0.313,0.647,0.478,0.459,C-F
259,Shane Larkin,5.7,2014-15,22,NYK,76,22,0,24.5,2.5,5.7,2,4.2,0.5,1.5,0.8,1,0.4,1.9,2.3,3,1.2,0.1,1.1,2,6.2,0.433,0.481,0.302,0.782,0.504,0.473,G
260,Charlie Villanueva,5.7,2014-15,30,DAL,64,1,0,10.6,2.3,5.7,1,2.2,1.3,3.5,0.3,0.5,0.5,1.9,2.3,0.3,0.2,0.3,0.4,1,6.3,0.414,0.475,0.376,0.571,0.534,0.529,F
261,Ricky Ledo,5.6,2014-15,22,"DAL,NYK",17,0,0,14.4,1.9,5.6,1.3,4.1,0.6,1.6,0.9,1.3,0.9,1.2,2.1,1.1,0.4,0.1,1.5,1.2,5.3,0.333,0.319,0.37,0.727,0.426,0.385,G
262,Kyle Singler,5.6,2014-15,26,"DET,OKC",80,58,0,21.8,2.2,5.6,1,2.6,1.2,3,0.5,0.7,0.4,2,2.4,1.1,0.6,0.3,0.7,1.9,6,0.386,0.371,0.398,0.769,0.512,0.493,F
263,Tim Frazier,5.5,2014-15,24,"PHI,POR",11,3,0,21.7,1.9,5.5,1.5,4,0.5,1.5,0.9,1.9,0.5,2,2.5,5.5,0.7,0,2.3,2.4,5.2,0.344,0.364,0.294,0.476,0.406,0.385,G
264,Cleanthony Early,5.5,2014-15,23,NYK,39,7,0,16.6,1.9,5.5,1.4,3.3,0.6,2.2,0.9,1.2,0.6,1.9,2.5,0.9,0.6,0.3,1,1.5,5.4,0.355,0.415,0.262,0.75,0.447,0.407,F
265,Ömer A??k,5.4,2014-15,28,NOP,76,76,0,26.1,2.8,5.4,2.8,5.4,0,0,1.7,3,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3,0.517,0.517,,0.582,0.545,0.517,C
266,Jerami Grant,5.4,2014-15,20,PHI,65,11,0,21.2,1.9,5.4,1.2,3,0.8,2.4,1.8,3,0.8,2.3,3,1.2,0.6,1,1.3,2.2,6.3,0.352,0.383,0.314,0.591,0.47,0.422,F
267,Drew Gooden,5.4,2014-15,33,WAS,51,7,0,16.9,2.2,5.4,1.7,4.3,0.5,1.2,0.7,0.9,1.4,3,4.4,1,0.4,0.2,0.5,1.8,5.4,0.399,0.401,0.39,0.773,0.469,0.44,F
268,Danny Granger,5.4,2014-15,31,MIA,30,6,0,20.4,2.2,5.4,1.2,2.6,1,2.8,0.9,1.2,0.7,2,2.7,0.6,0.4,0.2,0.8,2.2,6.3,0.401,0.449,0.357,0.757,0.527,0.494,F
269,T.J. Warren,5.4,2014-15,21,PHO,40,1,0,15.4,2.8,5.4,2.7,4.8,0.1,0.5,0.4,0.5,1,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1,0.528,0.56,0.238,0.737,0.551,0.54,F
270,Jeremy Lamb,5.3,2014-15,22,OKC,47,8,0,13.5,2.2,5.3,1.4,3,0.8,2.4,1,1.2,0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3,0.416,0.475,0.342,0.891,0.538,0.492,G-F
271,Chris Johnson,5.3,2014-15,24,"MIL,PHI,UTA",29,2,0,18.1,2.1,5.3,1.2,2,1,3.3,0.5,0.6,0.3,1.6,1.9,0.5,0.9,0.2,0.5,1.5,5.7,0.403,0.576,0.295,0.875,0.515,0.494,F-G
272,Shelvin Mack,5.3,2014-15,24,ATL,55,0,0,15.1,2.1,5.3,1.4,3,0.7,2.3,0.5,0.6,0.1,1.3,1.4,2.8,0.5,0,0.9,0.6,5.4,0.401,0.467,0.315,0.806,0.489,0.469,G
273,Andrew Bogut,5.3,2014-15,30,GSW,67,65,0,23.6,3,5.3,3,5.3,0,0,0.3,0.6,2.1,6,8.1,2.7,0.6,1.7,1.6,2.8,6.3,0.563,0.563,,0.524,0.565,0.563,C
274,Jason Thompson,5.3,2014-15,28,SAC,81,63,0,24.6,2.5,5.3,2.5,5.3,0,0,1.1,1.8,1.7,4.8,6.5,1,0.4,0.7,1,3,6.1,0.47,0.471,0,0.622,0.5,0.47,F-C
275,Otto Porter Jr.,5.3,2014-15,21,WAS,74,13,0,19.4,2.4,5.3,1.9,3.9,0.5,1.4,0.8,1.1,0.9,2,3,0.9,0.6,0.4,0.7,1.3,6,0.45,0.491,0.337,0.734,0.523,0.495,F
276,Carl Landry,5.3,2014-15,31,SAC,70,15,0,17,2.7,5.3,2.7,5.3,0,0,1.8,2.1,1.4,2.4,3.8,0.4,0.2,0.2,0.8,1.9,7.2,0.515,0.515,,0.82,0.578,0.515,F
277,A.J. Price,5.3,2014-15,28,"CLE,IND,PHO",26,0,0,12.5,2,5.3,1.4,3.1,0.6,2.2,0.6,0.9,0.2,1,1.2,1.8,0.3,0,0.5,0.6,5.1,0.372,0.45,0.263,0.667,0.451,0.427,G
278,Ben Gordon,5.3,2014-15,31,ORL,56,0,0,14.1,2.3,5.3,1.7,3.5,0.6,1.7,1,1.2,0.1,1,1.1,0.9,0.3,0,1,1.1,6.2,0.437,0.475,0.361,0.836,0.538,0.497,G
279,Tyler Johnson,5.2,2014-15,22,MIA,32,2,0,18.8,2.2,5.2,1.6,3.7,0.6,1.5,1,1.5,0.4,2.1,2.5,1.3,1,0.3,0.9,1.3,5.9,0.419,0.437,0.375,0.681,0.506,0.473,G
280,Ramon Sessions,5.2,2014-15,28,"SAC,WAS",64,10,0,18.6,2,5.2,1.7,4.3,0.3,0.9,2.1,2.7,0.4,1.9,2.3,2.8,0.5,0,1.3,1.1,6.3,0.374,0.387,0.317,0.769,0.49,0.403,G
281,Anthony Bennett,5.2,2014-15,21,MIN,57,3,0,15.7,2.2,5.2,2.1,4.8,0.1,0.4,0.7,1.1,0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,5.2,0.421,0.431,0.304,0.641,0.458,0.433,F
282,Rudy Gobert,5.2,2014-15,22,UTA,82,37,0,26.3,3.1,5.2,3.1,5.2,0,0,2.1,3.3,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4,0.604,0.607,0,0.623,0.627,0.604,C
283,Cory Joseph,5.2,2014-15,23,SAS,79,14,0,18.3,2.6,5.2,2.4,4.6,0.2,0.6,1.3,1.8,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8,0.504,0.52,0.364,0.734,0.564,0.523,G
284,Ronnie Price,5.2,2014-15,31,LAL,43,20,0,22.8,1.8,5.2,1.1,2.7,0.7,2.5,0.8,1,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1,0.345,0.404,0.284,0.8,0.455,0.415,G
285,Anthony Tolliver,5.2,2014-15,29,"DET,PHO",76,11,0,18.8,2.1,5.2,0.7,1.4,1.4,3.8,0.7,0.9,0.7,2.4,3.1,0.8,0.3,0.2,0.7,1.8,6.3,0.41,0.534,0.366,0.783,0.569,0.545,F-C
286,John Henson,5.2,2014-15,24,MIL,67,11,0,18.3,2.9,5.2,2.9,5.2,0,0,1.2,2,1.9,2.8,4.7,0.9,0.4,2,1.3,2.3,7,0.566,0.566,,0.569,0.578,0.566,C-F
287,Mitch McGary,5.2,2014-15,22,OKC,32,2,0,15.2,2.8,5.2,2.8,5.1,0,0.1,0.8,1.3,1.7,3.5,5.2,0.4,0.5,0.5,1,2.3,6.3,0.533,0.54,0,0.625,0.55,0.533,F-C
288,Tony Snell,5.2,2014-15,23,CHI,72,22,0,19.6,2.2,5.2,1.2,2.4,1,2.7,0.6,0.8,0.4,2,2.4,0.9,0.4,0.2,0.7,1.2,6,0.429,0.494,0.371,0.8,0.55,0.527,G-F
289,Dante Cunningham,5.1,2014-15,27,NOP,66,27,0,25,2.3,5.1,2.3,5,0,0.2,0.4,0.7,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,0.457,0.468,0.1,0.617,0.473,0.459,F
290,Alex Len,5.1,2014-15,21,PHO,69,44,0,22,2.6,5.1,2.6,5.1,0,0,1.1,1.5,2.1,4.5,6.6,0.5,0.5,1.5,1.1,3.1,6.3,0.507,0.509,0.333,0.702,0.542,0.508,C
291,Caron Butler,5.1,2014-15,34,DET,78,21,0,20.8,2.1,5.1,1,2.3,1.1,2.8,0.7,0.8,0.3,2.2,2.5,1,0.6,0.1,0.6,1.5,5.9,0.407,0.441,0.379,0.902,0.544,0.511,F
292,Shaun Livingston,5.1,2014-15,29,GSW,78,2,0,18.8,2.5,5.1,2.5,5.1,0,0,0.8,1.2,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,0.5,0.503,0,0.714,0.529,0.5,G
293,Brandon Davies,5.1,2014-15,23,"BRK,PHI",27,6,0,15.7,2,5.1,1.7,3.8,0.3,1.3,0.9,1.4,1.4,1.7,3.1,1.1,0.7,0.3,1.1,2.2,5.3,0.401,0.456,0.235,0.649,0.463,0.431,F
294,Dante Exum,5.1,2014-15,19,UTA,82,41,0,22.2,1.8,5.1,0.8,1.9,1,3.2,0.2,0.4,0.3,1.3,1.6,2.4,0.5,0.2,1.4,1.8,4.8,0.349,0.408,0.314,0.625,0.457,0.448,G
295,Elijah Millsap,5.1,2014-15,27,UTA,47,5,0,19.7,1.7,5.1,1.1,3.1,0.6,1.9,1.2,1.8,0.6,2.6,3.2,1.2,1.2,0.3,1.4,2.6,5.3,0.34,0.358,0.311,0.674,0.45,0.399,G-F
296,Jonas Jerebko,5.1,2014-15,27,"BOS,DET",75,0,0,16.4,2.3,5.1,1.5,3.2,0.7,1.9,0.7,0.9,1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6,0.446,0.481,0.386,0.848,0.549,0.517,F
297,Sean Kilpatrick,5,2014-15,25,MIN,4,0,0,18,1.8,5,0.8,1.8,1,3.3,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,0.35,0.429,0.308,1,0.506,0.45,G
